,DC,DC,VA,VA,MD,MD
,Lat,Long,Lat,Long,Lat,Long
N Lynn St & Fairfax Dr,,,,,,
Anacostia Metro,38.8623997,-76.9949,,,,
22nd & I St NW / Foggy Bottom,38.9008797,-77.0489559,,,,
Glebe Rd & 11th St N,,,38.8839207,-77.116817,,
8th & Eye St SE / Barracks Row,38.8791997,-76.9953,,,,
19th & East Capitol St SE,38.8895997,-76.9769,,,,
Potomac Ave & 35th St S,,,38.8440147,-77.050537,,
4th St & Madison Dr NW,,,,,,
Central Library / N Quincy St & 10th St N,,,38.8839697,-77.10783,,
13th St & New York Ave NW,38.9002827,-77.029822,,,,
Commerce St & Fayette St,,,38.8056477,-77.05293,,
18th St & Pennsylvania Ave NW,38.8996557,-77.0414518,,,,
Fenton St & Ellsworth Dr ,,,,,,
C & O Canal & Wisconsin Ave NW,38.9037497,-77.06269,,,,
1st & H St NW,38.900292,-77.009219,,,,
Lee Hwy & N Woodstock St,,,,,,
19th St & Constitution Ave NW,,,,,,
15th St & Massachusetts Ave SE,38.8873197,-76.983569,,,,
Duke St & John Carlyle St,,,,,,
Union Market/6th St & Neal Pl NE,,,,,,
8th & H St NW,38.8996997,-77.023086,,,,
5th & F St NW,38.8972217,-77.019347,,,,
S Troy St & 26th St S,,,,,,
15th & L St NW,38.9038447,-77.0349232,,,,
Fairfax Dr & Wilson Blvd,,,38.8858007,-77.097745,,
1st & D St SE,38.884906,-77.0059614,,,,
19th St & Pennsylvania Ave NW,38.9002997,-77.0429,,,,
10th St & L'Enfant Plaza SW,,,,,,
Gallaudet / 8th St & Florida Ave NE,38.9050897,-76.9941,,,,
Shirlington Transit Center / S Quincy & Randolph St,,,,,,
Crystal City Metro / 18th & Bell St,,,38.8572997,-77.0511,,
12th & Army Navy Dr,,,,,38.377426,-76.844668
19th & E Street NW,38.8962041839407,-77.0100167168287,,,,
10th & Monroe St NE,38.9325137,-76.992889,,,,
Potomac Ave & 8th St SE,,,,,,
20th St & Virginia Ave NW,,,,,,
Offutt Ln & Chevy Chase Dr,,,,,38.9770975,-77.0945996
18th & M St NW,38.9047417,-77.041606,,,,
21st St & Constitution Ave NW,38.89199767317,-77.0110049664348,,,,
Smithsonian-National Mall / Jefferson Dr & 12th St SW,,,,,,
N Pershing Dr & Wayne St,,,,,,
Lee Hwy & N Scott St,,,,,,
15th & N Scott St,,,38.8905397,-77.08095,,
Franklin & S Washington St,,,,,39.2878144,-76.5889377
Connecticut Ave & Yuma St NW,,,,,,
Good Hope & Naylor Rd SE,38.8600997,-76.9672,,,,
12th & L St NW,38.9038187,-77.0284,,,,
23rd & Crystal Dr,,,38.8532997,-77.0498,,
Shady Grove Metro West,,,,,,
10th & E St NW,38.8959137,-77.026064,,,,
34th St & Wisconsin Ave NW,38.9164417,-77.0682,,,,
18th & C St NW,,,,,,
15th & Crystal Dr,,,38.8601822,-77.0496649,,
Maple & Ritchie Ave,,,,,,
Rhode Island Ave Metro,,,,,,
S Arlington Mill Dr & Campbell Ave,,,,,,
East West Hwy & 16th St,,,,,38.9847882,-77.0929029
1st & Washington Hospital Center NW,38.9287427,-77.012457,,,,
Good Hope Rd & MLK Ave SE,38.8673727,-76.988039,,,,
Long Bridge Park/Long Bridge Dr & 6th St S,,,,,,
Powhatan St & Bashford Ln,,,,,,
Mount Vernon Ave & E Nelson Ave,,,38.8199908,-77.0575951,,
Rhode Island & Connecticut Ave NW,,,,,,
East Falls Church Metro/Sycamore St & 19th St N,,,,,,
17th St & Independence Ave SW,,,,,,
19th & L St NW,38.9033082,-77.0438191,,,,
Randle Circle & Minnesota Ave SE,,,,,,
Ward Circle / American University,38.9387357,-77.087171,,,,
Monroe St & Monroe Pl,,,37.504818,-79.125976,,
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,,,,,,
Independence Ave & L'Enfant Plaza SW/DOE,,,,,,
Bladensburg Rd & Benning Rd NE,38.9004127,-76.982872,,,,
Lynn & 19th St North,,,38.8973147,-77.070993,,
10th St & Constitution Ave NW,38.8930277,-77.026013,,,,
Lee Hwy & N Kirkwood Rd,,,,,,
Braddock Rd Metro,,,38.814579,-77.0528103,,
39th & Calvert St NW / Stoddert,38.9226487,-77.077271,,,,
Wilson Blvd & Franklin Rd,,,38.8903997,-77.0889,,
Benning Rd & East Capitol St NE / Benning Rd Metro,38.8899347,-76.93723,,,,
10th & G St NW,38.898933,-77.011945,,,,
Calvert & Biltmore St NW,,,,,,
Pershing & N George Mason Dr,,,,,,
4th & W St NE,38.91917,-76.985087,,,,
George Mason Dr & Wilson Blvd,,,38.8788697,-77.1207,,
Bethesda Metro,,,,,38.9844966,-77.0939141
Westpark & Park Run Dr,,,,,,
Montgomery Ave & Waverly St ,,,,,,
Royal & Wilkes St,,,38.8015651,-77.0561629,,
Commonwealth Ave & Oak St,,,,,,
Harvard St & Adams Mill Rd NW,38.9278717,-77.043358,,,,
Eads & 22nd St S,,,,,,
Anacostia Ave & Benning Rd NE / River Terrace ,38.8965437,-76.96012,,,,
Madison & Fairfax St,,,,,,
37th & O St NW / Georgetown University,38.9077397,-77.071652,,,,
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,,,38.8945997,-77.072305,,
Connecticut Ave & Chevy Chase Lake Dr,,,,,38.9905177,-77.0772115
Takoma Metro,,,,,,
14th St & Colorado Ave NW,38.9558855,-77.0335718,,,,
Maine Ave & 7th St SW,,,,,,
Mount Vernon Ave & E Del Ray Ave,,,38.8259996,-77.0585693,,
King Farm Blvd & Pleasant Dr,,,,,,
Lee Hwy & N Adams St,,,,,,
Barcroft Community Center,38.8478902,-77.1558134,,,,
Norfolk Ave & Fairmont St,,,,,,
Wilson Blvd & N Uhle St,,,,,,
Mount Vernon Ave & Bruce St,,,38.8412976,-77.063026,,
14th & D St NW / Ronald Reagan Building,,,,,,
S Joyce & Army Navy Dr,,,38.8636997,-77.0633,,
Walter Reed Community Center / Walter Reed Dr & 16th St S,,,,,,
24th & R St NE / National Arboretum,38.912594,-76.972965,,,,
Potomac & Swann Ave,,,,,,
Kennebec St & 11th St N,,,,,,
Ballenger Ave & Dulaney St,,,,,,
23rd & E St NW ,38.8961037,-77.049882,,,,
Aurora Hills Community Ctr/18th & Hayes St,,,,,,
19th & G St NW,38.8983902,-77.043196,,,,
Neal St & Trinidad Ave NE,,,,,,
Radford & Osage St,,,,,,
Eisenhower Ave & Mill Race Ln,,,,,,
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,,,,,,
New Jersey Ave & L St NW,,,,,,
Washington Blvd & Walter Reed Dr ,,,,,,
Sunset Hills & Old Reston Ave,,,,,,
Arlington Blvd & N Queen St,,,38.8893647,-77.077294,,
Connecticut Ave & Tilden St NW,,,,,,
Solutions & Greensboro Dr,,,,,,
Barton St & 10th St N,,,38.8849607,-77.08777,,
Clarendon Blvd & N Fillmore St,,,38.8880997,-77.09308,,
S Four Mile Run & Walter Reed Dr,,,,,,
Carroll & Westmoreland Ave,,,,,,
Fenton St & New York Ave ,,,,,,
Mount Vernon Ave & Kennedy St,,,38.8329403,-77.0598375,,
Saint Asaph St & Pendleton  St,,,38.8107427,-77.044664,,
Pentagon City Metro / 12th & S Hayes St,,,,,,
Yuma St & Tenley Circle NW,,,,,,
Medical Center Metro ,,,,,,
Fairfax Village,38.8624704,-76.9508432,,,,
Arlington Blvd & Fillmore St,,,,,,
Georgia Ave & Emerson St NW,,,,,,
13th St & Eastern Ave,,,,,38.9713568645583,-76.4747033955742
Fessenden St & Wisconsin Ave NW,38.9548117,-77.082426,,,,
Commonwealth & E Monroe Ave,,,,,,
36th & Calvert St NW / Glover Park,,,,,,
Van Ness Metro / UDC,38.9445507,-77.063896,,,,
21st & I St NW,38.9007997,-77.047,,,,
S Stafford & 34th St S,,,,,,
King St Metro South,,,38.8057667,-77.06072,,
Clarendon Metro / Wilson Blvd & N Highland St,,,38.8878597,-77.094875,,
Norfolk & Rugby Ave,,,,,,
Minnesota Ave Metro/DOES,38.8970883,-76.9476765,,,,
McKinley St & Connecticut Ave NW,,,,,,
Fort Totten Metro,38.95351535,-77.0037100208509,,,,
21st St & Pennsylvania Ave NW,38.9015387,-77.046564,,,,
19th & K St NW,38.9022037,-77.04337,,,,
Washington Blvd & 7th St N,,,38.8808337,-77.091129,,
King Farm Blvd & Piccard Dr,,,,,,
Fenton St & Gist Ave,,,,,,
Washington Blvd & N Frederick St,,,,,,
Georgia & Missouri Ave NW,,,,,,
N Veitch & Key Blvd,,,38.8932407,-77.086045,,
12th & Newton St NE,38.9336677,-76.991016,,,,
Congress Heights Metro,38.8447107,-76.987823,,,,
Anacostia Library,38.8657821,-76.9784,,,,
S Four Mile Run Dr & S Shirlington Rd,,,,,,
Alabama & MLK Ave SE,,,,,,
Wisconsin Ave & Brandywine St NW,,,,,,
Woodmont Ave & Strathmore St,,,,,38.9798727,-77.0935174
18th & Eads St.,,,,,,
Division Ave & Foote St NE,,,,,,
Columbia Pike & S Orme St,,,,,,
Friendship Blvd & Willard Ave,,,,,,
East West Hwy & Blair Mill Rd,,,,,,
Silver Spring Metro/Colesville Rd & Wayne Ave,,,,,,
Cordell & Norfolk Ave,,,,,,
Wilson Blvd & N Illinois St ,,,,,,
27th & Crystal Dr,,,38.8484407,-77.051516,,
4th & D St NW / Judiciary Square,38.8953437,-77.016106,,,,
Madison & N Henry St,,,,,,
Wisconsin Ave & Ingomar St NW,,,,,,
Arlington Blvd & S George Mason Dr/NFATC,,,,,,
Fairfax Dr & Kenmore St,,,,,,
Reston Town Center Transit Station,,,,,,
Piccard & W Gude Dr,,,,,,
Crabbs Branch Way & Calhoun Pl,,,,,,
Philadelphia & Maple Ave,,,,,,
Montgomery & East Ln,,,,,39.1406267,-77.2075612
Old Georgetown Rd & Southwick St,,,,,,
Carlin Springs Rd & N Thomas St,,,,,,
Lee Hwy & N Monroe St,,,,,,
Rockville Metro West,,,,,,
Spring St & Second Ave,,,,,,
Mount Vernon Ave & Four Mile Run Park,,,38.843698,-77.0641225,,
31st & Woodrow St S,,,,,,
Benning Branch Library,38.8939997,-76.947974,,,,
Sligo Ave & Carroll Ln,,,,,,
Pennsylvania & Minnesota Ave SE,38.8730567,-76.971015,,,,
Dennis & Amherst Ave,,,,,,
Eads St & 15th St S,,,,,38.89334,-76.905302
16th & Q St SE / Anacostia HS,,,,,,
Fallsgrove Blvd & Fallsgrove Dr,,,,,,
Rolfe St & 9th St S,,,,,,
Reston Station,38.9312353,-77.3570210298624,,,,
Rockville Metro East,,,,,39.0839239,-77.144854032992
Crabbs Branch Way & Redland Rd,,,,,39.1265384,-77.1660286
Nannie Helen Burroughs Ave & 49th St NE,,,,,,
Branch & Pennsylvania Ave SE,38.8691997,-76.9599,,,,
New Dominion Pkwy & Fountain Dr,,,,,,
S George Mason Dr & 13th St S,,,,,,
Lee Center,38.3046183,-77.7350701,,,,
Traville Gateway Dr & Gudelsky Dr,,,,,,
Jones Branch & Westbranch Dr,,,,,,
Lyttonsville Rd & Lyttonsville Pl,,,,,38.9954194,-77.0540662
S George Mason Dr & Four Mile Run,,,,,,
3rd St & Riggs Rd NE,38.9547351511568,-77.0088540174811,,,,
Frederick Ave & Horners Ln,,,,,,
Veterans Pl & Pershing Dr ,,,,,,
15th & W St NW,38.9192531564308,-77.0096535723045,,,,
South Capitol & Atlantic St SW,,,,,,
Tysons One Pl & Chain Bridge Rd,,,,,,
E Montgomery Ave & Maryland Ave,,,,,,
61st St & Banks Pl NE,,,,,,
Pooks Hill Rd & Linden Ave,,,,,,
Nannie Helen Burroughs & Minnesota Ave NE,38.9015997,-76.9422,,,,
Washington Adventist U / Flower Ave & Division St,,,,,,
Temporary Rd & Old Reston Ave,,,,,,
Fallsgrove Dr & W Montgomery Ave,,,,,,
Tysons West Transit Center,,,,,,
Fleet St & Ritchie Pkwy,,,,,,
North Shore & Cameron Crescent Dr/Crescent Apartments,,,,,,
Taft St & E Gude Dr,,,,,,
S Oakland St & Columbia Pike,,,,,,
Library St & Freedom Dr,,,,,39.22305965,-76.6119079151303
Towers Crescent Dr & Tysons One Pl,,,,,,
Key West Ave & Siesta Key Way,,,,,,
Medical Center Dr & Key West Ave,,,,,,
Spring Hill Metro,,,,,,
Westpark Dr & Leesburg Pike,,,,,,
Sunset Hills Rd & Discovery Square,,,,,,
Greensboro & International Dr,,,,,,
Needwood Rd & Eagles Head Ct,,,,,,
Montgomery College/W Campus Dr & Mannakee St,,,,,,
Town Center Pkwy & Bowman Towne Dr,,,,,,
Reston YMCA,,,,,,
Shady Grove Hospital,,,,,39.5226003,-77.5463771
Broschart & Blackwell Rd,,,,,,
Deanwood Rec Center,38.8998381,-76.9301144,,,,
Takoma Park Rec Center,,,,,,
New Hampshire & Kirklynn Ave,,,,,,
North Shore Dr & Village Rd,,,,,,
Reston Regional Library,,,38.9614438,-77.3585119,,
Amherst Ave & Elkins St,,,,,,
Wheaton Metro/Georgia Ave & Reedie Dr,,,,,,
Amherst Ave & Prichard Rd,,,,,,
Grandview & Blueridge Ave,,,,,,
Windham Ln & Amherst Ave,,,,,,
3rd & Underwood St NW,38.9682990204991,-77.0092259193601,,,,
18th & Monroe St NE,,,,,,
Georgia Ave & Piney Branch Rd NW,,,,,,
7th & E St SW,,,,,,
31st & Water St NW,,,,,,
Sunset Hills Rd & Isaac Newton Square,,,,,,
Shady Grove Metro East,,,,,,
Potomac & M St NW,,,,,,
Town Center Pkwy & Sunset Hills Rd,,,,,,
Columbia & Ontario Rd NW,,,,,,
Westover Library / Washington Blvd & N McKinley Rd,,,,,,
Washington-Lee High School / N Stafford St & Generals Way,,,,,,
Reston Pkwy & Spectrum Dr,,,,,,
Columbia Pike & S Taylor St,,,,,,
Columbus Ave & Tribeca St,,,,,,
Columbus Ave & Gramercy Blvd,,,,,,
Key West Ave & Great Seneca Hwy,,,,,,
Virginia Ave & 25th St NW,,,,,,
15th & M St NW,38.9052318,-77.0572612,,,,
2nd St & Seaton Pl NE,38.914741,-77.008748,,,,
11th & Girard St NW,38.9257547,-77.0271608,,,,
Connecticut Ave & R St NW,,,,,,
Wilson Blvd & N Troy St,,,,,,
15th St & Constitution Ave NW,38.8919977763795,-77.0109250822975,,,,
Nebraska Ave/AU East Campus,38.9362317,-77.0871578,,,,
22nd & H St NW,,,,,,
23rd & M St NW,,,,,,
Corporate Blvd & Omega Dr,,,,,,
Key West Ave & Diamondback Dr,,,,,,
4th St & Mississippi Ave SE,38.8315813773022,-77.0075448031294,,,,
Alabama Ave & Stanton Rd SE / Shops at Park Village,,,,,,
Livingston Rd & 3rd St SE,,,,,,
Mississippi Ave & 19th St SE / THEARC,,,,,,
15th St & Pennsylvania Ave NW/Pershing Park,,,,,,
1st & S Capitol St SE / Oxon Run Trail,,,,,,
19th & Savannah St SE,38.84476,-76.982788,,,,
37th & Ely Pl SE / Fort Dupont Ice Arena,,,,,,
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,,,,,,
Maine Ave & 9th St SW,,,,,,
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,,,,,,
